Sample Time,Time_x,Temperature 1,Calibrated Temperature 1,Temperature 1 Stable,Temperature 2,Calibrated Temperature 2,Temperature 2 Stable,salinity,Calibrated Salinity,Salinity Stable,pH,Calibrated pH,pH Stable,elapsed,Time_y,IMU A1,IMU A2,IMU A3,IMU G1,IMU G2,IMU G3,IMU M1,IMU M2,IMU M3,Latitude,Longitude
2018-06-10 12:13:18-07:00,1785402392.0,331.0,20.688000000000002,0.0,5222.0,20.557,0.0,,,,,,,3144.354,1785401877.7916667,170.95652173913044,472.95652173913044,44.0,33.21739130434783,95.21739130434783,20.17391304347826,187.43478260869566,-16.130434782608695,204.82608695652175,33.19184,-117.38376
2018-06-10 12:13:24-07:00,1785408412.0,331.0,20.688000000000002,0.0,5224.0,20.565,0.0,,,,,,,3150.401,1785407735.44,114.29166666666667,468.875,23.833333333333332,-31.583333333333332,-174.04166666666666,1.5,115.58333333333333,-3.6666666666666665,257.25,33.19184,-117.38376
2018-06-10 12:13:30-07:00,1785414432.0,331.0,20.688000000000002,0.0,5232.0,20.596,0.0,,,,,,,3156.448,1785413715.48,45.416666666666664,482.875,49.875,-6.958333333333333,-7.333333333333333,16.083333333333332,49.5,-4.166666666666667,314.5,33.19184,-117.38376
2018-06-10 12:13:36-07:00,1785420452.0,332.0,20.75,0.0,5235.0,20.608,0.0,,,,,,,3162.494,1785419693.48,40.25,501.6666666666667,41.833333333333336,-12.125,31.791666666666668,26.708333333333332,53.375,-1.375,296.2083333333333,33.19184,-117.38376
2018-06-10 12:13:42-07:00,1785426471.0,332.0,20.75,0.0,5240.0,20.628,0.0,,,,,,,3168.54,1785425672.0,-91.83333333333333,470.2083333333333,55.041666666666664,0.75,-12.833333333333334,1.9166666666666667,149.625,-29.375,238.04166666666666,33.19184,-117.38376
2018-06-10 12:13:48-07:00,1785432491.0,332.0,20.75,0.0,5236.0,20.612,0.0,,,,,,,3174.587,1785431651.76,-48.458333333333336,497.6666666666667,16.208333333333332,-9.833333333333334,-26.458333333333332,18.75,110.125,-31.708333333333332,268.5416666666667,33.19184,-117.38376
2018-06-10 12:13:54-07:00,1785438511.0,332.0,20.75,0.0,5237.0,20.616,0.0,,,,,,,3180.634,1785437743.4615386,-14.5,490.0833333333333,57.708333333333336,-14.916666666666666,-43.75,18.708333333333332,86.66666666666667,-24.333333333333332,286.6666666666667,33.19184,-117.38376
2018-06-10 12:14:00-07:00,1785444532.0,333.0,20.811999999999998,1.0,5235.0,20.608,0.0,,,,,,,3186.681,1785443715.0714285,-19.925925925925927,487.81481481481484,56.333333333333336,-4.333333333333333,41.7037037037037,-2.0,87.77777777777777,-19.925925925925927,275.6296296296296,33.19184,-117.38376
2018-06-10 12:14:06-07:00,1785450553.0,333.0,20.811999999999998,1.0,5239.0,20.624000000000002,0.0,,,,,,,3192.729,1785449662.48,-80.5,489.7083333333333,8.166666666666666,-7.625,-55.458333333333336,16.791666666666668,132.0,-43.75,276.8333333333333,33.19184,-117.38376
2018-06-10 12:14:12-07:00,1785456572.0,333.0,20.811999999999998,0.0,5240.0,20.628,0.0,,,,,,,3198.775,1785455641.72,79.0,458.5,27.958333333333332,-72.83333333333333,-294.2916666666667,5.625,204.41666666666666,-53.666666666666664,356.6666666666667,33.19184,-117.38376
2018-06-10 12:14:18-07:00,1785462592.0,333.0,20.811999999999998,0.0,5242.0,20.636,0.0,,,,,,,3204.822,1785461620.44,-13.166666666666666,443.8333333333333,151.125,2.2083333333333335,40.875,34.666666666666664,325.7083333333333,12.708333333333334,251.625,33.19184,-117.38376
2018-06-10 12:14:24-07:00,1785468613.0,333.0,20.811999999999998,0.0,5254.0,20.683000000000003,0.0,,,,,,,3210.869,1785467600.24,17.708333333333332,465.4583333333333,73.08333333333333,-44.958333333333336,193.375,-5.791666666666667,147.08333333333334,-28.666666666666668,392.6666666666667,33.19184,-117.38376
